run_id,sweep_type,r,s,p_fail,seed_index,seed,rho_V,mean_T,mean_B,frac_intelligent,frac_failed,frac_success,mean_fC_success,tail_top1_fraction
vacuum_toy_full,sweep_r,0.2,0.5,0.5,0,12345,0.7854233928109343,1.5076739620406157,0.97842,0.30348,0.15061,0.15287,0.6243364646042748,
vacuum_toy_full,sweep_r,0.2,0.5,0.5,1,12346,0.7816790062662347,1.5053275817768783,0.973,0.29916,0.14945,0.14971,0.6261756706071792,
vacuum_toy_full,sweep_r,0.2,0.5,0.5,2,12347,0.773994647568238,1.4900272602487257,0.96791,0.29889,0.15038,0.14851,0.6247482705766336,
vacuum_toy_full,sweep_r,0.2,0.5,0.5,3,12348,0.785131346984709,1.5012985298425507,0.97354,0.30043,0.14986,0.15057,0.6242282201981764,
vacuum_toy_full,sweep_r,0.2,0.5,0.5,4,12349,0.7795676466426338,1.496861092226481,0.96958,0.29907,0.14884,0.15023,0.6235437121325699,
vacuum_toy_full,sweep_r,0.3,0.5,0.5,0,12345,0.8147589973174852,1.5076739620406157,1.04706,0.30348,0.15061,0.15287,0.6243364646042748,
vacuum_toy_full,sweep_r,0.3,0.5,0.5,1,12346,0.8099122390831884,1.5053275817768783,1.04,0.29916,0.14945,0.14971,0.6261756706071792,
vacuum_toy_full,sweep_r,0.3,0.5,0.5,2,12347,0.8030483541793543,1.4900272602487257,1.03057,0.29889,0.15038,0.14851,0.6247482705766336,
vacuum_toy_full,sweep_r,0.3,0.5,0.5,3,12348,0.8119633020586436,1.5012985298425507,1.03622,0.30043,0.14986,0.15057,0.6242282201981764,
vacuum_toy_full,sweep_r,0.3,0.5,0.5,4,12349,0.8108934590033195,1.496861092226481,1.03442,0.29907,0.14884,0.15023,0.6235437121325699,
vacuum_toy_full,sweep_r,0.4,0.5,0.5,0,12345,0.8358466320902793,1.5076739620406157,1.11193,0.30348,0.15061,0.15287,0.6243364646042748,
vacuum_toy_full,sweep_r,0.4,0.5,0.5,1,12346,0.8351840508196425,1.5053275817768783,1.10734,0.29916,0.14945,0.14971,0.6261756706071792,
vacuum_toy_full,sweep_r,0.4,0.5,0.5,2,12347,0.8252511735639133,1.4900272602487257,1.09415,0.29889,0.15038,0.14851,0.6247482705766336,
vacuum_toy_full,sweep_r,0.4,0.5,0.5,3,12348,0.8364453334793248,1.5012985298425507,1.10558,0.30043,0.14986,0.15057,0.6242282201981764,
vacuum_toy_full,sweep_r,0.4,0.5,0.5,4,12349,0.8305436325652558,1.496861092226481,1.09856,0.29907,0.14884,0.15023,0.6235437121325699,
vacuum_toy_full,sweep_r,0.5,0.5,0.5,0,12345,0.8535550422390474,1.5076739620406157,1.1812,0.30348,0.15061,0.15287,0.6243364646042748,
vacuum_toy_full,sweep_r,0.5,0.5,0.5,1,12346,0.8501304214779214,1.5053275817768783,1.17425,0.29916,0.14945,0.14971,0.6261756706071792,
vacuum_toy_full,sweep_r,0.5,0.5,0.5,2,12347,0.8460910156761392,1.4900272602487257,1.16265,0.29889,0.15038,0.14851,0.6247482705766336,
vacuum_toy_full,sweep_r,0.5,0.5,0.5,3,12348,0.8526095207224083,1.5012985298425507,1.16951,0.30043,0.14986,0.15057,0.6242282201981764,
vacuum_toy_full,sweep_r,0.5,0.5,0.5,4,12349,0.851028282269069,1.496861092226481,1.16292,0.29907,0.14884,0.15023,0.6235437121325699,
vacuum_toy_full,sweep_r,0.75,0.5,0.5,0,12345,0.8870636655739347,1.5076739620406157,1.3463,0.30348,0.15061,0.15287,0.6243364646042748,
vacuum_toy_full,sweep_r,0.75,0.5,0.5,1,12346,0.8844328379920205,1.5053275817768783,1.32981,0.29916,0.14945,0.14971,0.6261756706071792,
vacuum_toy_full,sweep_r,0.75,0.5,0.5,2,12347,0.8778503119010342,1.4900272602487257,1.32236,0.29889,0.15038,0.14851,0.6247482705766336,
vacuum_toy_full,sweep_r,0.75,0.5,0.5,3,12348,0.8852173265685026,1.5012985298425507,1.33656,0.30043,0.14986,0.15057,0.6242282201981764,
vacuum_toy_full,sweep_r,0.75,0.5,0.5,4,12349,0.8853546772980643,1.496861092226481,1.33153,0.29907,0.14884,0.15023,0.6235437121325699,
vacuum_toy_full,sweep_r,1.0,0.5,0.5,0,12345,0.9053294268713299,1.5076739620406157,1.50757,0.30348,0.15061,0.15287,0.6243364646042748,
vacuum_toy_full,sweep_r,1.0,0.5,0.5,1,12346,0.9031251564156891,1.5053275817768783,1.49584,0.29916,0.14945,0.14971,0.6261756706071792,
vacuum_toy_full,sweep_r,1.0,0.5,0.5,2,12347,0.8992671498826073,1.4900272602487257,1.48577,0.29889,0.15038,0.14851,0.6247482705766336,
vacuum_toy_full,sweep_r,1.0,0.5,0.5,3,12348,0.9031765224062529,1.5012985298425507,1.4956,0.30043,0.14986,0.15057,0.6242282201981764,
vacuum_toy_full,sweep_r,1.0,0.5,0.5,4,12349,0.902386974735114,1.496861092226481,1.48918,0.29907,0.14884,0.15023,0.6235437121325699,
vacuum_toy_full,sweep_r,1.25,0.5,0.5,0,12345,0.9191976494841756,1.5076739620406157,1.68074,0.30348,0.15061,0.15287,0.6243364646042748,
vacuum_toy_full,sweep_r,1.25,0.5,0.5,1,12346,0.9164147627812652,1.5053275817768783,1.66301,0.29916,0.14945,0.14971,0.6261756706071792,
vacuum_toy_full,sweep_r,1.25,0.5,0.5,2,12347,0.9155560663560773,1.4900272602487257,1.6538,0.29889,0.15038,0.14851,0.6247482705766336,
vacuum_toy_full,sweep_r,1.25,0.5,0.5,3,12348,0.9192158278539748,1.5012985298425507,1.66367,0.30043,0.14986,0.15057,0.6242282201981764,
vacuum_toy_full,sweep_r,1.25,0.5,0.5,4,12349,0.9160140960959033,1.496861092226481,1.65483,0.29907,0.14884,0.15023,0.6235437121325699,
vacuum_toy_full,sweep_r,1.5,0.5,0.5,0,12345,0.9263956010188954,1.5076739620406157,1.84243,0.30348,0.15061,0.15287,0.6243364646042748,
vacuum_toy_full,sweep_r,1.5,0.5,0.5,1,12346,0.9267609085073867,1.5053275817768783,1.83367,0.29916,0.14945,0.14971,0.6261756706071792,
vacuum_toy_full,sweep_r,1.5,0.5,0.5,2,12347,0.9230475792189037,1.4900272602487257,1.80766,0.29889,0.15038,0.14851,0.6247482705766336,
vacuum_toy_full,sweep_r,1.5,0.5,0.5,3,12348,0.9277215860486955,1.5012985298425507,1.82904,0.30043,0.14986,0.15057,0.6242282201981764,
vacuum_toy_full,sweep_r,1.5,0.5,0.5,4,12349,0.9255764617371605,1.496861092226481,1.8142,0.29907,0.14884,0.15023,0.6235437121325699,
vacuum_toy_full,sweep_r,2.0,0.5,0.5,0,12345,0.9386531768732148,1.5076739620406157,2.18072,0.30348,0.15061,0.15287,0.6243364646042748,
vacuum_toy_full,sweep_r,2.0,0.5,0.5,1,12346,0.9380182571886045,1.5053275817768783,2.15483,0.29916,0.14945,0.14971,0.6261756706071792,
vacuum_toy_full,sweep_r,2.0,0.5,0.5,2,12347,0.9348582990551922,1.4900272602487257,2.13615,0.29889,0.15038,0.14851,0.6247482705766336,
vacuum_toy_full,sweep_r,2.0,0.5,0.5,3,12348,0.9394676377549352,1.5012985298425507,2.15617,0.30043,0.14986,0.15057,0.6242282201981764,
vacuum_toy_full,sweep_r,2.0,0.5,0.5,4,12349,0.9368562403086681,1.496861092226481,2.14577,0.29907,0.14884,0.15023,0.6235437121325699,
vacuum_toy_full,sweep_r,3.0,0.5,0.5,0,12345,0.9479409000426422,1.5076739620406157,2.8459,0.30348,0.15061,0.15287,0.6243364646042748,
vacuum_toy_full,sweep_r,3.0,0.5,0.5,1,12346,0.9477788380885391,1.5053275817768783,2.83287,0.29916,0.14945,0.14971,0.6261756706071792,
vacuum_toy_full,sweep_r,3.0,0.5,0.5,2,12347,0.9440717069420472,1.4900272602487257,2.7897,0.29889,0.15038,0.14851,0.6247482705766336,
vacuum_toy_full,sweep_r,3.0,0.5,0.5,3,12348,0.9475230913659022,1.5012985298425507,2.81637,0.30043,0.14986,0.15057,0.6242282201981764,
vacuum_toy_full,sweep_r,3.0,0.5,0.5,4,12349,0.9468565271323964,1.496861092226481,2.79953,0.29907,0.14884,0.15023,0.6235437121325699,
